model,layer,scope,n,pearson_r,pearson_ci95_low,pearson_ci95_high,pearson_p,spearman_r,spearman_ci95_low,spearman_ci95_high,spearman_p,significant_p05
google/gemma-2-2b,11,all_categories,1000,0.3005,0.2523,0.3474,0.0,0.3502,0.2942,0.4039,0.0,True
google/gemma-2-2b,12,all_categories,1000,0.3,0.2515,0.3469,0.0,0.3331,0.2803,0.3842,0.0,True
google/gemma-2-2b,13,all_categories,1000,0.2963,0.2479,0.3437,0.0,0.3172,0.2616,0.3758,0.0,True
google/gemma-2-2b,14,all_categories,1000,0.2908,0.2426,0.3386,0.0,0.2411,0.184,0.3022,0.0,True
google/gemma-2-2b,11,constrained_factual,250,0.6157,0.5441,0.6776,0.0,0.4362,0.3153,0.5429,0.0,True
google/gemma-2-2b,11,moderate_reasoning,250,0.4615,0.3888,0.5364,0.0,0.3862,0.2671,0.4956,0.0,True
google/gemma-2-2b,11,open_ended,250,0.1088,0.0409,0.1782,0.086121,0.1867,0.0731,0.2984,0.003047,False
google/gemma-2-2b,11,adversarial_ambiguous,250,0.6847,0.6126,0.7494,0.0,0.5867,0.492,0.6649,0.0,True
google/gemma-2-2b,12,constrained_factual,250,0.6138,0.5422,0.6763,0.0,0.4452,0.326,0.5492,0.0,True
google/gemma-2-2b,12,moderate_reasoning,250,0.4563,0.3835,0.5315,0.0,0.3142,0.1885,0.4254,0.0,True
google/gemma-2-2b,12,open_ended,250,0.1038,0.0361,0.1724,0.101611,0.229,0.1212,0.3336,0.00026,False
google/gemma-2-2b,12,adversarial_ambiguous,250,0.6834,0.6109,0.7483,0.0,0.6039,0.5081,0.6833,0.0,True
google/gemma-2-2b,13,constrained_factual,250,0.608,0.5353,0.6724,0.0,0.3515,0.2263,0.4739,0.0,True
google/gemma-2-2b,13,moderate_reasoning,250,0.4456,0.3724,0.5217,0.0,0.1634,0.0292,0.2912,0.009643,True
google/gemma-2-2b,13,open_ended,250,0.0998,0.0319,0.1664,0.115441,0.2229,0.1073,0.3314,0.000383,False
google/gemma-2-2b,13,adversarial_ambiguous,250,0.6857,0.6142,0.7496,0.0,0.6525,0.5625,0.7253,0.0,True
google/gemma-2-2b,14,constrained_factual,250,0.6056,0.5325,0.6702,0.0,0.3748,0.2384,0.4943,0.0,True
google/gemma-2-2b,14,moderate_reasoning,250,0.4342,0.3581,0.5107,0.0,0.1384,0.002,0.2732,0.028635,True
google/gemma-2-2b,14,open_ended,250,0.0902,0.0238,0.157,0.154966,-0.0324,-0.178,0.1141,0.610249,False
google/gemma-2-2b,14,adversarial_ambiguous,250,0.6841,0.6117,0.7476,0.0,0.6052,0.5082,0.6893,0.0,True
gpt2,5,all_categories,1000,0.6467,0.6167,0.677,0.0,0.2444,0.1732,0.3088,0.0,True
gpt2,6,all_categories,1000,0.6374,0.6067,0.6679,0.0,0.1763,0.1019,0.2444,0.0,True
gpt2,7,all_categories,1000,0.559,0.5217,0.5916,0.0,0.1686,0.0926,0.2366,0.0,True
gpt2,8,all_categories,1000,0.3879,0.338,0.4306,0.0,0.1173,0.0418,0.1888,0.000201,True
gpt2,5,constrained_factual,250,0.8587,0.7989,0.9104,0.0,0.3486,0.2046,0.47,0.0,True
gpt2,5,moderate_reasoning,250,0.7738,0.6987,0.8307,0.0,0.4179,0.2901,0.5292,0.0,True
gpt2,5,open_ended,250,0.6995,0.6307,0.7578,0.0,0.2373,0.0792,0.3748,0.000152,True
gpt2,5,adversarial_ambiguous,250,0.8202,0.7704,0.8641,0.0,0.2602,0.0976,0.3944,3.1e-05,True
gpt2,6,constrained_factual,250,0.837,0.7712,0.8951,0.0,0.3129,0.1667,0.4401,0.0,True
gpt2,6,moderate_reasoning,250,0.7682,0.6914,0.8272,0.0,0.1832,0.0191,0.3229,0.003649,True
gpt2,6,open_ended,250,0.6907,0.621,0.7503,0.0,0.2079,0.0458,0.3503,0.000945,True
gpt2,6,adversarial_ambiguous,250,0.8155,0.7647,0.8604,0.0,0.1843,0.0165,0.3242,0.003452,True
gpt2,7,constrained_factual,250,0.5252,0.4019,0.6367,0.0,0.2686,0.1259,0.3943,1.7e-05,True
gpt2,7,moderate_reasoning,250,0.7551,0.6748,0.8169,0.0,0.1933,0.0378,0.3364,0.00214,True
gpt2,7,open_ended,250,0.657,0.5781,0.7242,0.0,0.1896,0.0264,0.3337,0.002613,True
gpt2,7,adversarial_ambiguous,250,0.7814,0.7206,0.8339,0.0,0.1535,-0.0191,0.2984,0.015155,True
gpt2,8,constrained_factual,250,0.1376,0.0284,0.2575,0.029607,0.0352,-0.0927,0.156,0.579393,True
gpt2,8,moderate_reasoning,250,0.7182,0.6312,0.7838,0.0,0.1871,0.0317,0.3279,0.002983,True
gpt2,8,open_ended,250,0.5022,0.3866,0.5965,0.0,0.1817,0.0111,0.3264,0.003948,True
gpt2,8,adversarial_ambiguous,250,0.6697,0.584,0.7419,0.0,0.1443,-0.0301,0.2886,0.02246,True
